url_path,views_total,views_unique
/icip-cas/PPTAgent,1925,1284
/icip-cas/pptagent,652,504
/icip-cas/PPTAgent/tree/main/deeppresenter,132,91
/icip-cas/PPTAgent/tree/main/pptagent,128,84
/icip-cas/PPTAgent/tree/main,87,63
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0001.jpg,74,57
/icip-cas/PPTAgent/blob/main/resource/v2/presentation1/0001.jpg,71,55
/icip-cas/PPTAgent/releases/tag/v2.0.0,63,51
/icip-cas/PPTAgent/issues,62,43
/icip-cas/PPTAgent/blob/main/resource/v2/manuscript/0002.jpg,46,40
