time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-06 00:00:00+00:00,50,32,759,154
2026-03-07 00:00:00+00:00,36,26,251,90
2026-03-08 00:00:00+00:00,33,20,221,92
2026-03-09 00:00:00+00:00,61,44,741,215
2026-03-10 00:00:00+00:00,61,46,969,259
2026-03-11 00:00:00+00:00,74,56,827,263
2026-03-12 00:00:00+00:00,67,47,790,250
2026-03-13 00:00:00+00:00,35,32,552,211
2026-03-14 00:00:00+00:00,55,42,321,96
2026-03-15 00:00:00+00:00,41,33,282,114
2026-03-16 00:00:00+00:00,108,66,566,215
2026-03-17 00:00:00+00:00,89,57,902,260
2026-03-18 00:00:00+00:00,150,122,1895,564
2026-03-19 00:00:00+00:00,407,154,2565,754
2026-03-20 00:00:00+00:00,116,100,2290,785
2026-03-21 00:00:00+00:00,75,51,1041,453
2026-03-22 00:00:00+00:00,83,72,811,357
2026-03-23 00:00:00+00:00,114,80,1624,604
2026-03-24 00:00:00+00:00,107,77,1862,568
2026-03-25 00:00:00+00:00,89,74,1317,485
2026-03-26 00:00:00+00:00,84,67,1596,508
2026-03-27 00:00:00+00:00,100,89,1258,404
2026-03-28 00:00:00+00:00,286,52,614,198
2026-03-29 00:00:00+00:00,59,45,700,230
2026-03-30 00:00:00+00:00,119,78,1256,431
2026-03-31 00:00:00+00:00,65,53,1285,378
2026-04-01 00:00:00+00:00,90,65,938,316
2026-04-02 00:00:00+00:00,89,61,1007,315
2026-04-03 00:00:00+00:00,101,55,847,277
2026-04-04 00:00:00+00:00,49,38,416,137
2026-04-05 00:00:00+00:00,37,32,529,155
2026-04-06 00:00:00+00:00,49,41,677,216
2026-04-07 00:00:00+00:00,508,69,994,336
2026-04-08 00:00:00+00:00,98,74,1157,385
2026-04-09 00:00:00+00:00,150,89,1072,352
2026-04-10 00:00:00+00:00,136,44,1022,383
2026-04-11 00:00:00+00:00,57,40,700,222
2026-04-12 00:00:00+00:00,64,50,575,212
2026-04-13 00:00:00+00:00,105,61,1243,372
2026-04-14 00:00:00+00:00,72,56,1050,395
2026-04-15 00:00:00+00:00,98,81,1044,340
2026-04-16 00:00:00+00:00,62,51,1122,347
2026-04-17 00:00:00+00:00,71,46,780,302
2026-04-18 00:00:00+00:00,44,36,376,161
2026-04-19 00:00:00+00:00,44,33,486,180
2026-04-20 00:00:00+00:00,111,61,919,301
2026-04-21 00:00:00+00:00,170,82,710,280
2026-04-22 00:00:00+00:00,73,54,936,347
2026-04-23 00:00:00+00:00,89,69,672,284
2026-04-24 00:00:00+00:00,101,83,778,280
2026-04-25 00:00:00+00:00,58,45,438,185
2026-04-26 00:00:00+00:00,58,47,510,182
